Country,Film,Box Office,Week,Link clicks,Total impressions,Total reach,Organic impressions,Organic reach,Page engaged users,Page consumptions,Negative feedback from users,Total video views,Total autoplayed views,Total organic views,Video repeats,Organic 30 sec views,Unique video views,Total 30 sec views,Autoplayed 30 sec views,Total impressions of posts,Total reach of posts,Organic impressions of posts,Organic reach of posts,Paid impressions,Paid reach,Total promoted views,Paid 30 sec views,Paid impressions of posts,Paid reach of posts
5,11,2031816,7,48,4297462,1726566,50244,32099,34679,33241,9,75602,71102,31127,7638,7183,67964,17642,14220,635857,399574,27930,19017,3910367,1552092,44475,10459,364098,246885
5,11,2031816,7,54,4516470,1773029,52427,35157,34329,34293,9,76174,71460,32560,9017,7688,67157,18027,14425,652659,400998,29730,21762,4117633,1609026,43614,10339,366359,245105
5,11,2031816,7,60,4582591,1790479,52953,37544,33693,33822,9,73271,68495,31164,8750,7547,64521,17552,13858,633434,399820,30317,23742,4206657,1626101,42107,10005,360670,247897
5,11,2031816,7,63,4625533,1783023,53128,38858,33219,33648,9,72772,67850,30982,8647,7648,64125,17519,13686,641334,402672,30719,24767,4263311,1637607,41790,9871,371440,246006
5,11,2031816,7,63,4655796,1791009,54372,38781,31598,33669,9,73438,68487,31855,8002,7995,65436,17596,13729,660368,397826,32486,25740,4291218,1642787,41583,9601,381619,244651
5,11,2031816,7,77,7065704,3016404,120130,101226,65557,67657,14,502406,483831,70437,53043,15735,449363,118019,105850,3110755,2124453,97026,90273,6327590,2707911,431969,102284,2458281,1812633
5,11,2031816,6,316,10645258,4438320,288563,199515,104423,105608,31,988970,958306,112253,142404,23906,846566,216615,196835,6707353,3813247,263372,187365,9409692,4031727,876717,192709,5570312,3404998
5,11,2031816,6,652,13970440,5703465,427996,264032,130834,136268,42,1383968,1343334,143153,214638,29564,1169330,287903,261849,10248596,5221794,401335,249461,12379045,5251711,1240815,258339,8765944,4785397
5,11,2031816,6,711,14586751,5844555,478970,294946,137034,144256,50,1481811,1438118,151276,263151,30987,1218660,305406,277539,11426414,5501549,454215,281787,12900928,5371174,1330535,274419,9843764,5048648
5,11,2031816,6,728,15550872,6136723,541706,339954,143162,155148,52,1629363,1580868,160398,328230,32826,1301133,333846,303024,12959853,5857912,518732,326529,13764873,5635044,1468965,301020,11270121,5371857
5,11,2031816,6,764,16532107,6297616,624417,389760,156361,167051,60,1786340,1732878,169383,366424,34787,1419916,367073,333209,14570981,6104973,603398,380914,14623301,5809324,1616957,332286,12750346,5619075
5,11,2031816,6,780,17454231,6475998,700862,442556,167396,177898,65,1929952,1871928,177995,434131,36479,1495821,395397,358826,16080564,6334202,681331,435125,15443479,5970481,1751957,358918,14153541,5837518
5,11,2031816,6,748,15947183,6576636,710608,453086,145945,154212,61,1636914,1588172,146844,318449,30363,1318465,322161,291420,15055794,6446347,694311,445299,14213111,6073317,1490070,291798,13399987,5932233
5,11,2031816,5,507,13234451,5949883,631285,421864,117633,125292,44,1273828,1233533,110384,216532,23139,1057296,246563,221426,12852205,5888379,618942,414411,11887352,5506637,1163444,223424,11564062,5449716
5,11,2031816,5,167,11799312,5064203,620630,447496,101877,110835,49,1172490,1134438,91997,236086,20652,936404,251028,227106,11751221,5051294,609327,443284,10627471,4696255,1080493,230376,10627284,4696255
5,11,2031816,5,105,12046963,5091969,648030,481380,102572,110677,42,1197698,1159446,90961,235662,20583,962036,255998,231945,11999949,5077877,636794,477078,10873214,4720630,1106737,235415,10873214,4720630
